> Task :compileJava
> Task :processResources UP-TO-DATE
> Task :classes
> Task :configJavafxRun

> Task :run
ID : 1571396344 | X:404.35592830000013 | Y:54.70512824945385 | Vx:-300.0 | Vy:-109.78829987993849
ID : 1571396344 | X:398.21532010000016 | Y:52.49980187783772 | Vx:-300.0 | Vy:-107.74143047993849
ID : 1571396344 | X:392.24698870000014 | Y:50.395925535456854 | Vx:-300.0 | Vy:-105.75198667993848
ID : 1571396344 | X:386.33145760000014 | Y:48.34954332425595 | Vx:-300.0 | Vy:-103.78014297993849
ID : 1571396344 | X:379.14502480000016 | Y:45.92089637524457 | Vx:-300.0 | Vy:-101.38466537993848
ID : 1571396344 | X:373.1972311000002 | Y:43.95015307283072 | Vx:-300.0 | Vy:-99.40206747993848
ID : 1571396344 | X:367.0429351000002 | Y:41.953070984391914 | Vx:-300.0 | Vy:-97.35063547993848
ID : 1571396344 | X:360.8971015000002 | Y:40.000703041166375 | Vx:-300.0 | Vy:-95.30202427993848
ID : 1571396344 | X:354.4532146000002 | Y:37.99978890891866 | Vx:-300.0 | Vy:-93.15406197993848
ID : 1571396344 | X:347.9853898000002 | Y:36.03792257642949 | Vx:-300.0 | Vy:-90.99812037993847
ID : 1571396344 | X:341.4432517000002 | Y:34.10107008734229 | Vx:-300.0 | Vy:-88.81740767993847
ID : 1571396344 | X:333.0733678000002 | Y:31.70093762596376 | Vx:-300.0 | Vy:-86.02744637993847
ID : 1571396344 | X:327.66603010000017 | Y:30.18282755803813 | Vx:-300.0 | Vy:-84.22500047993847
ID : 1571396344 | X:321.9291013000002 | Y:28.608754068322742 | Vx:-300.0 | Vy:-82.31269087993847
ID : 1571396344 | X:316.4708884000002 | Y:27.14425575107602 | Vx:-300.0 | Vy:-80.49328657993847
ID : 1571396344 | X:309.9674383000002 | Y:25.446303134665243 | Vx:-300.0 | Vy:-78.32546987993847
ID : 1571396344 | X:303.8883307000002 | Y:23.90020165860998 | Vx:-300.0 | Vy:-76.29910067993846
ID : 1571396344 | X:297.1282525000002 | Y:22.231684987178806 | Vx:-300.0 | Vy:-74.04574127993847
ID : 1571396344 | X:288.9790708000002 | Y:20.294098946040346 | Vx:-300.0 | Vy:-71.32934737993847
ID : 1571396344 | X:283.0532524000002 | Y:18.92416677517111 | Vx:-300.0 | Vy:-69.35407457993847
ID : 1571396344 | X:277.6427026000002 | Y:17.705881248610293 | Vx:-300.0 | Vy:-67.55055797993847
ID : 1571396344 | X:271.92964900000015 | Y:16.455746922042053 | Vx:-300.0 | Vy:-65.64620677993848
ID : 1571396344 | X:266.28603370000013 | Y:15.256196458423965 | Vx:-300.0 | Vy:-63.76500167993848
ID : 1571396344 | X:260.5515550000001 | Y:14.073871029694564 | Vx:-300.0 | Vy:-61.85350877993848
ID : 1571396344 | X:254.93725270000013 | Y:12.951346030246729 | Vx:-300.0 | Vy:-59.98207467993848
ID : 1571396344 | X:249.76530550000012 | Y:11.94698677276483 | Vx:-300.0 | Vy:-58.25809227993848
ID : 1571396344 | X:242.75136190000012 | Y:10.639585088696752 | Vx:-300.0 | Vy:-55.92011107993848
ID : 1571396344 | X:236.8536814000001 | Y:9.578902632316883 | Vx:-300.0 | Vy:-53.95421757993848
ID : 1571396344 | X:231.46494400000012 | Y:8.642017254854553 | Vx:-300.0 | Vy:-52.15797177993848
ID : 1571396344 | X:225.88464220000012 | Y:7.70642625124929 | Vx:-300.0 | Vy:-50.297871179938475
ID : 1571396344 | X:220.4860549000001 | Y:6.833684472503252 | Vx:-300.0 | Vy:-48.498342079938475
ID : 1571396344 | X:214.2669205000001 | Y:5.871267261356946 | Vx:-300.0 | Vy:-46.425297279938476
ID : 1571396344 | X:207.5269177000001 | Y:4.878720302213785 | Vx:-300.0 | Vy:-44.178629679938474
ID : 1571396344 | X:199.6379017000001 | Y:3.7861189958125934 | Vx:-300.0 | Vy:-41.548957679938475
ID : 1571396344 | X:193.2279274000001 | Y:2.9440129044415717 | Vx:-300.0 | Vy:-39.41229957993848
ID : 1571396344 | X:186.7986283000001 | Y:2.14529679362221 | Vx:-300.0 | Vy:-37.269199879938476
ID : 1571396344 | X:180.6997579000001 | Y:1.4289591938640709 | Vx:-300.0 | Vy:-35.236243079938475
ID : 1571396344 | X:174.4122478000001 | Y:0.7343903944241789 | Vx:-300.0 | Vy:-33.140406379938476
ID : 1571396344 | X:168.3231025000001 | Y:0.1029319958008843 | Vx:-300.0 | Vy:-31.110691279938475
ID : 1571396344 | X:162.40417150000007 | Y:-0.4719484052680174 | Vx:-300.0 | Vy:-29.137714279938475
ID : 1571396344 | X:153.75105910000008 | Y:-1.2291921786270668 | Vx:-300.0 | Vy:-26.253343479938476
ID : 1571396344 | X:146.4424123000001 | Y:-1.8094287635100772 | Vx:-300.0 | Vy:-23.817127879938475
ID : 1571396344 | X:139.2799420000001 | Y:-2.321059243971968 | Vx:-300.0 | Vy:-21.429637779938474
ID : 1571396344 | X:133.8315166000001 | Y:-2.6772681429049503 | Vx:-300.0 | Vy:-19.613495979938474
ID : 1571396344 | X:128.0257369000001 | Y:-3.0193879567873316 | Vx:-300.0 | Vy:-17.678236079938472
ID : 1571396344 | X:122.40009700000012 | Y:-3.3157283417587675 | Vx:-300.0 | Vy:-15.803022779938471
ID : 1571396344 | X:115.63551880000011 | Y:-3.621220377258668 | Vx:-300.0 | Vy:-13.548163379938472
ID : 1571396344 | X:109.90116520000011 | Y:-3.843650451862648 | Vx:-300.0 | Vy:-11.636712179938472
ID : 1571396344 | X:104.0166973000001 | Y:-4.033428913403793 | Vx:-300.0 | Vy:-9.675222879938472
ID : 1571396344 | X:96.1725316000001 | Y:-4.218041378775959 | Vx:-300.0 | Vy:-7.060500979938472
ID : 1571396344 | X:89.8275208000001 | Y:-4.322638826399563 | Vx:-300.0 | Vy:-4.945497379938471
ID : 1571396344 | X:84.1566928000001 | Y:-4.380390942891409 | Vx:-300.0 | Vy:-3.0552213799384713
ID : 1571396344 | X:78.2377621000001 | Y:-4.40174337648212 | Vx:-300.0 | Vy:-1.0822444799384712
ID : 1571396344 | X:72.1747669000001 | Y:-4.382771174777739 | Vx:-300.0 | Vy:0.9387539200615287
ID : 1571396344 | X:66.02882110000009 | Y:-4.321569794874134 | Vx:-300.0 | Vy:2.9874025200615293
ID : 1571396344 | X:59.72671060000009 | Y:-4.214683773626991 | Vx:-300.0 | Vy:5.088106020061529
ID : 1571396344 | X:54.11607100000009 | Y:-4.0845483690752635 | Vx:-300.0 | Vy:6.958319220061529
ID : 1571396344 | X:46.85963710000009 | Y:-3.8577332764402663 | Vx:-300.0 | Vy:9.37713052006153
ID : 1571396344 | X:41.055370000000096 | Y:-3.638875913020111 | Vx:-300.0 | Vy:11.31188622006153
ID : 1571396344 | X:35.4815056000001 | Y:-3.394186219635509 | Vx:-300.0 | Vy:13.16984102006153
